gene,type,gene_model_description,all_gene_symbols,log2foldchange,p_value,ubp5_target
AT1G01010,NA,NA,NA,NA,NA,NA
AT1G01020,NA,NA,NA,NA,NA,NA
AT1G01130,NA,NA,NA,NA,NA,NA
AT1G01300,NA,NA,NA,NA,NA,NA
AT1G01360,downregulated,Encodes RCAR1 (regulatory components of ABA receptor).  Interacts with and regulates the type 2C protein phosphatases (PP2Cs) ABI1 and ABI2.  Functions as abscisic acid sensor.,PYRABACTIN RESISTANCE 1-LIKE 9 (PYL9);REGULATORY COMPONENT OF ABA RECEPTOR 1 (RCAR1),-0.611288899006386,7.46597268875346e-4,TRUE
AT1G01370,NA,NA,NA,NA,NA,NA
AT1G01430,NA,NA,NA,NA,NA,NA
AT1G01490,NA,NA,NA,NA,NA,NA
AT1G01540,NA,NA,NA,NA,NA,NA
AT1G01720,NA,NA,NA,NA,NA,NA
AT1G02090,NA,NA,NA,NA,NA,NA
AT1G02140,NA,NA,NA,NA,NA,NA
AT1G02230,NA,NA,NA,NA,NA,NA
AT1G04107,NA,NA,NA,NA,NA,NA
AT1G02370,NA,NA,NA,NA,NA,NA
AT1G02410,NA,NA,NA,NA,NA,NA
AT1G02475,NA,NA,NA,NA,NA,NA
AT1G02560,NA,NA,NA,NA,NA,NA
AT1G02610,NA,NA,NA,NA,NA,NA
AT1G02650,NA,NA,NA,NA,NA,NA
AT1G02720,NA,NA,NA,NA,NA,NA
AT1G02816,NA,NA,NA,NA,NA,NA
AT1G02840,NA,NA,NA,NA,NA,NA
AT1G02990,NA,NA,NA,NA,NA,NA
AT1G03000,NA,NA,NA,NA,NA,NA
AT1G03060,NA,NA,NA,NA,NA,NA
AT1G03250,NA,NA,NA,NA,NA,NA
AT1G03365,NA,NA,NA,NA,NA,NA
AT1G03457,NA,NA,NA,NA,NA,NA
AT1G03680,NA,NA,NA,NA,NA,NA
AT1G03730,NA,NA,NA,NA,NA,NA
AT1G03743,NA,NA,NA,NA,NA,NA
AT1G03746,NA,NA,NA,NA,NA,NA
AT1G03830,NA,NA,NA,NA,NA,NA
AT1G03960,NA,NA,NA,NA,NA,NA
AT1G03970,NA,NA,NA,NA,NA,NA
AT1G04233,NA,NA,NA,NA,NA,NA
AT1G04000,NA,NA,NA,NA,NA,NA
AT1G04070,NA,NA,NA,NA,NA,NA
AT1G04090,NA,NA,NA,NA,NA,NA
AT1G04170,NA,NA,NA,NA,NA,NA
AT1G04210,NA,NA,NA,NA,NA,NA
AT1G04260,NA,NA,NA,NA,NA,NA
AT1G04290,NA,NA,NA,NA,NA,NA
AT1G04295,NA,NA,NA,NA,NA,NA
AT1G04630,NA,NA,NA,NA,NA,NA
AT1G04635,NA,NA,NA,NA,NA,NA
AT1G04780,NA,NA,NA,NA,NA,NA
AT1G04790,NA,NA,NA,NA,NA,NA
AT1G04830,NA,NA,NA,NA,NA,NA
AT1G04930,NA,NA,NA,NA,NA,NA
AT1G04940,NA,NA,NA,NA,NA,NA
AT1G04945,NA,NA,NA,NA,NA,NA
AT1G04985,NA,NA,NA,NA,NA,NA
AT1G05120,NA,NA,NA,NA,NA,NA
AT1G05150,NA,NA,NA,NA,NA,NA
AT1G05230,NA,NA,NA,NA,NA,NA
AT1G05360,NA,NA,NA,NA,NA,NA
AT1G05430,NA,NA,NA,NA,NA,NA
AT1G05570,NA,NA,NA,NA,NA,NA
AT1G04417,NA,NA,NA,NA,NA,NA
AT1G05730,NA,NA,NA,NA,NA,NA
AT1G04427,NA,NA,NA,NA,NA,NA
AT1G05783,NA,NA,NA,NA,NA,NA
AT1G05860,NA,NA,NA,NA,NA,NA
AT1G05890,NA,NA,NA,NA,NA,NA
AT1G05960,NA,NA,NA,NA,NA,NA
AT1G05970,downregulated,RNA-binding (RRM/RBD/RNP motifs) family protein; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).,NA,-0.769805677537896,0.00116766005844579,TRUE
AT1G05980,NA,NA,NA,NA,NA,NA
AT1G06110,NA,NA,NA,NA,NA,NA
AT1G06130,NA,NA,NA,NA,NA,NA
AT1G06210,NA,NA,NA,NA,NA,NA
AT1G06230,NA,NA,NA,NA,NA,NA
AT1G06290,NA,NA,NA,NA,NA,NA
AT1G06380,NA,NA,NA,NA,NA,NA
AT1G06530,NA,NA,NA,NA,NA,NA
AT1G06540,NA,NA,NA,NA,NA,NA
AT1G06570,NA,NA,NA,NA,NA,NA
AT1G06590,NA,NA,NA,NA,NA,NA
AT1G06630,NA,NA,NA,NA,NA,NA
AT1G04513,NA,NA,NA,NA,NA,NA
AT1G06800,NA,NA,NA,NA,NA,NA
AT1G06850,NA,NA,NA,NA,NA,NA
AT1G07000,NA,NA,NA,NA,NA,NA
AT1G07128,NA,NA,NA,NA,NA,NA
AT1G07130,NA,NA,NA,NA,NA,NA
AT1G07230,NA,NA,NA,NA,NA,NA
AT1G07290,NA,NA,NA,NA,NA,NA
AT1G07360,NA,NA,NA,NA,NA,NA
AT1G07510,NA,NA,NA,NA,NA,NA
AT1G07510,NA,NA,NA,NA,NA,NA
AT1G07520,NA,NA,NA,NA,NA,NA
AT1G07660,NA,NA,NA,NA,NA,NA
AT1G07725,NA,NA,NA,NA,NA,NA
AT1G07728,NA,NA,NA,NA,NA,NA
AT1G07820,NA,NA,NA,NA,NA,NA
AT1G07920,NA,NA,NA,NA,NA,NA
AT1G08000,NA,NA,NA,NA,NA,NA
AT1G08010,NA,NA,NA,NA,NA,NA
AT1G08040,NA,NA,NA,NA,NA,NA
AT1G08130,NA,NA,NA,NA,NA,NA
