gene,type,gene_model_description,all_gene_symbols,log2foldchange,p_value,pwo1_target,ubp5_target
AT1G01240,downregulated,unknown protein; INVOLVED IN: N-terminal protein myristoylation; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 11 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G46550.1); Has 95 Blast hits to 78 proteins in 16 species: Archae - 0; Bacteria - 2; Metazoa - 11; Fungi - 0; Plants - 80; Viruses - 0; Other Eukaryotes - 2 (source: NCBI BLink).,NA,-0.609084565090404,2.63206805868333e-4,FALSE,FALSE
AT1G01360,downregulated,Encodes RCAR1 (regulatory components of ABA receptor).  Interacts with and regulates the type 2C protein phosphatases (PP2Cs) ABI1 and ABI2.  Functions as abscisic acid sensor.,PYRABACTIN RESISTANCE 1-LIKE 9 (PYL9);REGULATORY COMPONENT OF ABA RECEPTOR 1 (RCAR1),-0.611288899006386,7.46597268875346e-4,TRUE,TRUE
AT1G01580,upregulated,"Encodes the low-iron-inducible ferric chelate reductase responsible for reduction of iron at the root surface.  It is likely to be the major Fe(III) chelate reductase in Arabidopsis iron metabolism.  Coordinately regulated with IRT1, the major transporter responsible for high-affinity iron uptake from the soil, at both transcriptional and posttranscriptional levels. Steady state mRNA levels are regulated by several metals.  Its transcription is regulated by FIT1.",FERRIC REDUCTION OXIDASE 2 (FRO2);FERRIC REDUCTION OXIDASE 2 (ATFRO2);FERRIC CHELATE REDUCTASE DEFECTIVE 1 (FRD1),3.56130066758596,2.57150431358833e-22,FALSE,FALSE
AT1G02340,downregulated,"Encodes a light-inducible, nuclear bHLH protein involved in phytochrome signaling. Mutants exhibit a long-hypocotyl phenotype only under far-red light but not under red light and are defective in other phytochrome A-related responses. Mutants also show blue light response defects. HFR1 interacts with COP1, co-localizes to the nuclear specks and is ubiquinated by COP1.",LONG HYPOCOTYL IN FAR-RED (HFR1);REDUCED PHYTOCHROME SIGNALING 1 (REP1); (FBI1);REDUCED SENSITIVITY TO FAR-RED LIGHT 1 (RSF1),-1.43196504188041,2.87650755538037e-10,FALSE,FALSE
AT1G02350,downregulated,protoporphyrinogen oxidase-related; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: siroheme biosynthetic process; Has 0 Blast hits to 0 proteins in 0 species (source: NCBI BLink).,NA,-1.4566124742654,4.25623694943469e-6,FALSE,TRUE
AT1G02520,upregulated,Encodes an ATP-binding cassette (ABC) transporter.  Expressed in the vascular tissue of primary stem.,P-GLYCOPROTEIN 11 (PGP11);MULTI-DRUG RESISTANCE 8 (MDR8);ATP-BINDING CASSETTE B11 (ABCB11),0.793559740790761,6.68194955923973e-4,FALSE,FALSE
AT1G03130,downregulated,Encodes a protein predicted by sequence similarity with spinach PsaD to be photosystem I reaction center subunit II (PsaD2),PHOTOSYSTEM I SUBUNIT D-2 (PSAD-2),-0.990439922129509,1.87721619859468e-11,FALSE,FALSE
AT1G03290,downregulated,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G02880.2); Has 13587 Blast hits to 10183 proteins in 1114 species: Archae - 257; Bacteria - 2402; Metazoa - 5637; Fungi - 960; Plants - 675; Viruses - 54; Other Eukaryotes - 3602 (source: NCBI BLink).,NA,-0.448770947986146,0.00209760821679193,FALSE,TRUE
AT1G03400,downregulated,"A single copy gene that encodes a protein with sequence similarity to tomato E8 (ACC oxidase, the last step in ethylene biosynthesis) involved in ethylene synthesis and fruit ripening in tomato. This gene is not induced by ethylene in siliques. The transcript is found in siliques, etiolated seedlings, leaves, stems and flowers.",NA,-0.667886171227599,2.7772926315928e-5,FALSE,TRUE
AT1G03550,downregulated,Secretory carrier membrane protein (SCAMP) family protein; FUNCTIONS IN: transmembrane transporter activity; INVOLVED IN: protein transport; LOCATED IN: integral to membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: SCAMP (InterPro:IPR007273); BEST Arabidopsis thaliana protein match is: Secretory carrier membrane protein (SCAMP) family protein (TAIR:AT2G20840.1); Has 670 Blast hits to 668 proteins in 104 species: Archae - 0; Bacteria - 0; Metazoa - 376; Fungi - 14; Plants - 226; Viruses - 0; Other Eukaryotes - 54 (source: NCBI BLink).,SECRETORY CARRIER MEMBRANE PROTEIN 4 (SCAMP4); (ATSCAMP4),-0.747239229490052,6.7974964668942e-4,FALSE,FALSE
AT1G03860,upregulated,prohibitin 2,PROHIBITIN 2 (PHB2);PROHIBITIN 2 (ATPHB2),0.623042122164274,1.11047385243088e-5,FALSE,TRUE
AT1G04510,upregulated,"Encodes MAC3A, a U-box proteins with homology to the yeast and human E3 ubiquitin ligase Prp19.  Associated with the MOS4-Associated Complex (MAC).  Involved in plant innate immunity.",MOS4-ASSOCIATED  COMPLEX 3A (MAC3A),0.424602488491073,0.00255705771253776,FALSE,TRUE
AT1G04620,upregulated,"Encodes a 7-hydroxymethyl chlorophyll a reductase, an enzyme of the chlorophyll cycle that converts 7-hydroxymethyl chlorophyll a to chlorophyll a.",7-HYDROXYMETHYL CHLOROPHYLL A (HMCHL) REDUCTASE (HCAR),0.507735913619906,5.50769653227992e-4,FALSE,FALSE
AT1G04710,downregulated,EC2.3.1.16 thiolase.,PEROXISOMAL 3-KETOACYL-COA THIOLASE  4 (PKT4);3-KETO-ACYL-COA THIOLASE 1 (KAT1),-0.641448376057638,3.03338276283278e-4,FALSE,FALSE
AT1G04870,upregulated,Encodes a type I protein arginine methyltransferase based on the At1g04870.2 gene model. PRMT10 can catalyze the asymmetric dimethylation of arginine 3 on histone 4 and can also methylate myelin basic protein in vitro.  Mutants lacking PRMT10 flower late due to defects in the autonomous pathway and they have elevated levels of FLC transcripts.,(ATPRMT10);PROTEIN ARGININE METHYLTRANSFERASE 10 (PRMT10),0.483297797943179,0.00134716451922398,FALSE,FALSE
AT1G04980,upregulated,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response.",PDI-LIKE 2-2 (ATPDIL2-2);PDI-LIKE 2-2 (PDIL2-2);PROTEIN DISULFIDE ISOMERASE (PDI10);ARABIDOPSIS THALIANA PROTEIN DISULFIDE ISOMERASE 10 (ATPDI10),0.63752770076136,2.61868051280731e-4,FALSE,FALSE
AT1G05310,downregulated,"Pectin lyase-like superfamily protein; FUNCTIONS IN: pectinesterase activity; INVOLVED IN: cell wall modification; LOCATED IN: endomembrane system, cell wall, plant-type cell wall; EXPRESSED IN: 12 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Pectinesterase, active site (InterPro:IPR018040), Pectin lyase fold/virulence factor (InterPro:IPR011050), Pectinesterase, catalytic (InterPro:IPR000070); BEST Arabidopsis thaliana protein match is: Pectin lyase-like superfamily protein (TAIR:AT2G36710.1); Has 4576 Blast hits to 3466 proteins in 439 species: Archae - 11; Bacteria - 724; Metazoa - 994; Fungi - 355; Plants - 1773; Viruses - 6; Other Eukaryotes - 713 (source: NCBI BLink).",NA,-0.928755576958131,0.0015330612275568,FALSE,FALSE
AT1G05530,upregulated,"Encodes a protein with glucosyltransferase activity with high sequence homology to UGT1 (AT1G05560). It belongs to an UGT subfamily that binds UDP-glucose but not UDP-glucuronate, UDP-galactose, or UDP-rhamnose as the glycosyl donor. UGT2 was shown to be able to use abscisic acid as glycosylation substrate in the presence of UDP-glucose.",UDP-GLUCOSYL TRANSFERASE 2 (UGT2);UDP-GLUCOSYL TRANSFERASE 75B2 (UGT75B2),1.37729660632135,0.00158832964713217,FALSE,FALSE
