type,value
PWO1-GFP,0.291245503
PWO1-GFP,7.950760319
PWO1-GFP,-0.259541985
PWO1-GFP,-0.702334228
PWO1-GFP,2.447869447
PWO1-GFP,6.530989824
PWO1-GFP,1.896779885
PWO1-GFP,-1.126496128
PWO1-GFP,-5.065634467
PWO1-GFP,-4.692349827
PWO1-GFP,-5.948477752
PWO1-GFP,0.197699497
PWO1-GFP,-2.6389147
PWO1-GFP,0.855544587
PWO1-GFP,1.833719067
PWO1-GFP,-1.18072748
PWO1-GFP+UBP5-mCh spec,2.196293754
PWO1-GFP+UBP5-mCh spec,-0.275590551
PWO1-GFP+UBP5-mCh spec,-1.758366421
PWO1-GFP+UBP5-mCh spec,0.819818214
PWO1-GFP+UBP5-mCh spec,3.949345353
PWO1-GFP+UBP5-mCh spec,11.32000792
PWO1-GFP+UBP5-mCh spec,10.37373881
PWO1-GFP+UBP5-mCh spec,14.1697182
PWO1-GFP+UBP5-mCh spec,11.93520887
PWO1-GFP+UBP5-mCh spec,6.209887251
PWO1-GFP+UBP5-mCh spec,0.211081794
PWO1-GFP+UBP5-mCh spec,29.52786989
PWO1-GFP+UBP5-mCh spec,5.524715834
PWO1-GFP+UBP5-mCh spec,12.94774893
PWO1-GFP+UBP5-mCh spec,3.74322197
PWO1-GFP+UBP5-mCh spec,4.763986014
UBP5-GFP,-0.589663545
UBP5-GFP,0.18109977
UBP5-GFP,-0.866586054
UBP5-GFP,1.041373487
UBP5-GFP,-0.156669651
UBP5-GFP,0.354526117
UBP5-GFP,-1.752955565
UBP5-GFP,-0.339827821
UBP5-GFP,-2.006472492
UBP5-GFP,0.111653873
UBP5-GFP,0.214745884
UBP5-GFP,-0.443989071
UBP5-GFP,0.581929556
UBP5-GFP,-0.531400966
UBP5-GFP,0.715502555
UBP5-GFP+PWO1-mCh,0.785582255
UBP5-GFP+PWO1-mCh,1.388582764
UBP5-GFP+PWO1-mCh,0.972762646
UBP5-GFP+PWO1-mCh,3.152827918
UBP5-GFP+PWO1-mCh,0.997340426
UBP5-GFP+PWO1-mCh,2.63481901
UBP5-GFP+PWO1-mCh,1.49750416
UBP5-GFP+PWO1-mCh spec,3.966231284
UBP5-GFP+PWO1-mCh spec,-2.362600536
UBP5-GFP+PWO1-mCh spec,5.639552464
UBP5-GFP+PWO1-mCh spec,4.806227788
UBP5-GFP+PWO1-mCh spec,10.29107981
UBP5-GFP+PWO1-mCh spec,6.873198847
UBP5-GFP+PWO1-mCh spec,-1.225225225
UBP5-GFP+PWO1-mCh spec,13.67198839
UBP5-GFP+PWO1-mCh spec,1.363636364
UBP5-GFP+PWO1-mCh spec,7.814009662
UBP5-GFP+PWO1-mCh spec,3.437139562
UBP5-GFP+PWO1-mCh spec,2.475158085
UBP5-GFP+PWO1-mCh spec,5.071166795
UBP5-GFP+PWO1-mCh spec,8.564927678
PWO1-GFP_mCh spec,10.24160963
PWO1-GFP_mCh spec,18.07179487
PWO1-GFP_mCh spec,-0.210575573
PWO1-GFP_mCh spec,9.509786939
PWO1-GFP_mCh spec,14.94745037
PWO1-GFP_mCh spec,6.142396979
PWO1-GFP_mCh spec,15.02585315
PWO1-GFP_mCh spec,4.536448013
PWO1-GFP_mCh spec,24.84487466
PWO1-GFP_mCh spec,12.86549708
PWO1-GFP_mCh spec,32.60984648
PWO1-GFP_mCh spec,19.56772334
PWO1-GFP_mCh spec,16.86624721
PWO1-GFP_mCh spec,7.075023742
PWO1-GFP_mCh spec,13.04086538
UBP5-GFP+PWO1-mCh spec,3.966231284
UBP5-GFP+PWO1-mCh spec,-2.362600536
UBP5-GFP+PWO1-mCh spec,5.639552464
UBP5-GFP+PWO1-mCh spec,4.806227788
UBP5-GFP+PWO1-mCh spec,10.29107981
UBP5-GFP+PWO1-mCh spec,6.873198847
UBP5-GFP+PWO1-mCh spec,-1.225225225
UBP5-GFP+PWO1-mCh spec,13.67198839
UBP5-GFP+PWO1-mCh spec,1.363636364
UBP5-GFP+PWO1-mCh spec,7.814009662
UBP5-GFP+PWO1-mCh spec,3.437139562
UBP5-GFP+PWO1-mCh spec,2.475158085
UBP5-GFP+PWO1-mCh spec,5.071166795
UBP5-GFP+PWO1-mCh spec,8.564927678
