ubp5_targets,cat
AT1G01010,De-novo marked
AT1G01020,Unchanged
AT1G01030,Unchanged
AT1G01040,Unchanged
AT1G01050,De-novo marked
AT1G01080,De-novo marked
AT1G01150,De-novo marked
AT1G01160,De-novo marked
AT1G01210,Hypo-marked
AT1G01225,Hyper-marked
AT1G01230,Hyper-marked
AT1G01290,Hypo-marked
AT1G01350,Hyper-marked
AT1G01360,Hyper-marked
AT1G01370,Hyper-marked
AT1G01430,De-novo marked
AT1G01440,Unchanged
AT1G01500,Hyper-marked
AT1G01510,Hyper-marked
AT1G01570,Unchanged
AT1G01600,Hypo-marked
AT1G01690,Unchanged
AT1G01710,De-novo marked
AT1G01760,Hyper-marked
AT1G01770,Hyper-marked
AT1G01790,De-novo marked
AT1G01820,Unchanged
AT1G01860,Unchanged
AT1G01880,Hypo-marked
AT1G01910,De-novo marked
AT1G01930,De-novo marked
AT1G01940,De-novo marked
AT1G01950,De-novo marked
AT1G01970,Unchanged
AT1G01990,Hypo-marked
AT1G02000,Hyper-marked
AT1G02010,Hyper-marked
AT1G02080,Unchanged
AT1G02090,De-novo marked
AT1G02140,Unchanged
AT1G02160,Unchanged
AT1G02230,Unchanged
AT1G02260,De-novo marked
AT1G02280,De-novo marked
AT1G02290,Hyper-marked
AT1G02330,Hypo-marked
AT1G02350,De-novo marked
AT1G02370,Hyper-marked
AT1G02380,De-novo marked
AT1G02410,Unchanged
AT1G02420,De-novo marked
AT1G02475,Hyper-marked
AT1G02560,Hypo-marked
AT1G02620,Hypo-marked
AT1G02650,Hypo-marked
AT1G02670,Hyper-marked
AT1G02680,De-novo marked
AT1G02690,Hyper-marked
AT1G02720,Hyper-marked
AT1G02740,Hyper-marked
AT1G02750,Hyper-marked
AT1G02770,Unchanged
AT1G02800,Hypo-marked
AT1G02816,Hypo-marked
AT1G02840,Unchanged
AT1G02870,Hyper-marked
AT1G02880,Hyper-marked
AT1G02965,De-novo marked
AT1G02970,De-novo marked
AT1G02990,De-novo marked
AT1G03000,De-novo marked
AT1G03030,De-novo marked
AT1G03040,Hyper-marked
AT1G03055,Unchanged
AT1G03060,Unchanged
AT1G03070,Unchanged
AT1G03080,De-novo marked
AT1G03090,Unchanged
AT1G03110,De-novo marked
AT1G03180,Hypo-marked
AT1G03190,De-novo marked
AT1G03250,De-novo marked
AT1G03260,Hyper-marked
AT1G03270,Hyper-marked
AT1G03280,Unchanged
AT1G03290,Hyper-marked
AT1G03310,Hyper-marked
AT1G03330,Unchanged
AT1G03350,Hyper-marked
AT1G03360,Hyper-marked
AT1G03365,De-novo marked
AT1G03370,De-novo marked
AT1G03400,Hypo-marked
AT1G03440,Unchanged
AT1G03475,Hypo-marked
AT1G03520,Unchanged
AT1G03530,Hyper-marked
AT1G03540,Hyper-marked
AT1G03560,Unchanged
AT1G03680,Hyper-marked
AT1G03687,Hyper-marked
