gene_id,name,value,mis_reg
AT1G01010,H2Aub-Col,1.198366448275862,Downregulated
AT1G01010,H2Aub-ubp5,2.4685614447702835,Downregulated
AT1G01020,H2Aub-Col,0.4730759591002045,Non-misegulated genes
AT1G01020,H2Aub-ubp5,1.1125702810026386,Non-misegulated genes
AT1G01040,H2Aub-Col,0.7509342907644719,Non-misegulated genes
AT1G01040,H2Aub-ubp5,1.141513989010989,Non-misegulated genes
AT1G01050,H2Aub-Col,1.2259430428176796,Non-misegulated genes
AT1G01050,H2Aub-ubp5,2.44407202320442,Non-misegulated genes
AT1G01070,H2Aub-Col,1.0398389081145585,Non-misegulated genes
AT1G01070,H2Aub-ubp5,1.0234166670854272,Non-misegulated genes
AT1G01080,H2Aub-Col,1.695434021574973,Non-misegulated genes
AT1G01080,H2Aub-ubp5,4.165438617623918,Non-misegulated genes
AT1G01090,H2Aub-Col,3.2265729706601465,Non-misegulated genes
AT1G01090,H2Aub-ubp5,4.308324452910959,Non-misegulated genes
AT1G01100,H2Aub-Col,0.911411394736842,Non-misegulated genes
AT1G01100,H2Aub-ubp5,0.9520518525345624,Non-misegulated genes
AT1G01120,H2Aub-Col,5.608418231677018,Non-misegulated genes
AT1G01120,H2Aub-ubp5,3.121080774930748,Non-misegulated genes
AT1G01140,H2Aub-Col,1.917840394459834,Non-misegulated genes
AT1G01140,H2Aub-ubp5,2.096780825647505,Non-misegulated genes
AT1G01160,H2Aub-Col,1.140346806451613,Non-misegulated genes
AT1G01160,H2Aub-ubp5,1.4691548832684824,Non-misegulated genes
AT1G01170,H2Aub-Col,0.9962319726027398,Non-misegulated genes
AT1G01170,H2Aub-ubp5,0.8306882472324724,Non-misegulated genes
AT1G01180,H2Aub-Col,3.767506521436848,Non-misegulated genes
AT1G01180,H2Aub-ubp5,4.3154516449438205,Non-misegulated genes
AT1G01210,H2Aub-Col,0.9346383921568628,Non-misegulated genes
AT1G01210,H2Aub-ubp5,1.6280008567990374,Non-misegulated genes
AT1G01220,H2Aub-Col,1.1639071949967927,Non-misegulated genes
AT1G01220,H2Aub-ubp5,1.9649603224796492,Non-misegulated genes
AT1G01230,H2Aub-Col,0.84697293728223,Non-misegulated genes
AT1G01230,H2Aub-ubp5,1.6347801496932517,Non-misegulated genes
AT1G01240,H2Aub-Col,1.2779784289215683,Non-misegulated genes
AT1G01240,H2Aub-ubp5,1.8692601693548387,Non-misegulated genes
AT1G01260,H2Aub-Col,1.1842539441624365,Non-misegulated genes
AT1G01260,H2Aub-ubp5,1.3719018807134895,Non-misegulated genes
AT1G01300,H2Aub-Col,3.24078670336894,Non-misegulated genes
AT1G01300,H2Aub-ubp5,2.5081114683982686,Non-misegulated genes
AT1G01320,H2Aub-Col,1.145494736162988,Non-misegulated genes
AT1G01320,H2Aub-ubp5,1.3094672476489029,Non-misegulated genes
AT1G01350,H2Aub-Col,0.6966090136518771,Non-misegulated genes
AT1G01350,H2Aub-ubp5,1.4668344067114094,Non-misegulated genes
AT1G01390,H2Aub-Col,6.438798211309524,Upregulated
AT1G01390,H2Aub-ubp5,5.141506650478293,Upregulated
AT1G01430,H2Aub-Col,1.4327142768421053,Non-misegulated genes
AT1G01430,H2Aub-ubp5,1.8399521866913124,Non-misegulated genes
AT1G01440,H2Aub-Col,1.059009996025437,Non-misegulated genes
AT1G01440,H2Aub-ubp5,1.2223554873140858,Non-misegulated genes
AT1G01470,H2Aub-Col,3.8482548190883192,Non-misegulated genes
AT1G01470,H2Aub-ubp5,3.771302986111111,Non-misegulated genes
AT1G01490,H2Aub-Col,2.5086106616949153,Non-misegulated genes
AT1G01490,H2Aub-ubp5,2.1714222487235593,Non-misegulated genes
AT1G01500,H2Aub-Col,3.33185273095624,Non-misegulated genes
AT1G01500,H2Aub-ubp5,5.718941027628032,Non-misegulated genes
AT1G01510,H2Aub-Col,1.9187971066422913,Non-misegulated genes
AT1G01510,H2Aub-ubp5,2.577441513003901,Non-misegulated genes
AT1G01540,H2Aub-Col,1.3157336134663342,Non-misegulated genes
AT1G01540,H2Aub-ubp5,2.1436930208494207,Non-misegulated genes
AT1G01550,H2Aub-Col,0.879326275477707,Non-misegulated genes
AT1G01550,H2Aub-ubp5,0.2921455761589404,Non-misegulated genes
AT1G01610,H2Aub-Col,3.2491445078761543,Non-misegulated genes
AT1G01610,H2Aub-ubp5,2.7293320389238693,Non-misegulated genes
AT1G01620,H2Aub-Col,5.812681472012103,Non-misegulated genes
AT1G01620,H2Aub-ubp5,5.196172718795888,Non-misegulated genes
AT1G01630,H2Aub-Col,2.8012063409290096,Non-misegulated genes
AT1G01630,H2Aub-ubp5,3.307228408064516,Non-misegulated genes
AT1G01650,H2Aub-Col,0.826822289713086,Non-misegulated genes
AT1G01650,H2Aub-ubp5,1.035446243739566,Non-misegulated genes
AT1G01680,H2Aub-Col,2.3862667623478884,Upregulated
AT1G01680,H2Aub-ubp5,2.139486310099574,Upregulated
AT1G01710,H2Aub-Col,1.0070413110749186,Non-misegulated genes
AT1G01710,H2Aub-ubp5,1.9998886191145464,Non-misegulated genes
AT1G01720,H2Aub-Col,4.298472078754579,Non-misegulated genes
AT1G01720,H2Aub-ubp5,6.634752517748918,Non-misegulated genes
AT1G01725,H2Aub-Col,0.4549710628272251,Non-misegulated genes
AT1G01725,H2Aub-ubp5,0.5883801007751938,Non-misegulated genes
AT1G01730,H2Aub-Col,1.8469054969135803,Non-misegulated genes
AT1G01730,H2Aub-ubp5,1.9890521428571428,Non-misegulated genes
AT1G01770,H2Aub-Col,2.3563607548252476,Non-misegulated genes
AT1G01770,H2Aub-ubp5,4.449168798310454,Non-misegulated genes
AT1G01780,H2Aub-Col,0.9485906561264822,Non-misegulated genes
AT1G01780,H2Aub-ubp5,0.9944196429872496,Non-misegulated genes
AT1G01790,H2Aub-Col,0.8499786478388998,Non-misegulated genes
AT1G01790,H2Aub-ubp5,1.548297249508841,Non-misegulated genes
AT1G01800,H2Aub-Col,1.8200316642771803,Non-misegulated genes
AT1G01800,H2Aub-ubp5,2.183077781414995,Non-misegulated genes
AT1G01820,H2Aub-Col,1.0244570912280702,Non-misegulated genes
AT1G01820,H2Aub-ubp5,1.0760410536585363,Non-misegulated genes
AT1G01830,H2Aub-Col,2.382549712522852,Non-misegulated genes
AT1G01830,H2Aub-ubp5,3.0356191301703164,Non-misegulated genes
AT1G01860,H2Aub-Col,1.6338174155982903,Non-misegulated genes
AT1G01860,H2Aub-ubp5,3.312552249551167,Non-misegulated genes
AT1G01900,H2Aub-Col,5.023650929509632,Non-misegulated genes
AT1G01900,H2Aub-ubp5,3.951578127074443,Non-misegulated genes
AT1G01910,H2Aub-Col,0.8206509699570815,Non-misegulated genes
AT1G01910,H2Aub-ubp5,1.988893554054054,Non-misegulated genes
AT1G01920,H2Aub-Col,1.1075705122887864,Non-misegulated genes
AT1G01920,H2Aub-ubp5,2.0019421197368423,Non-misegulated genes
AT1G01930,H2Aub-Col,1.2281352348668282,Non-misegulated genes
AT1G01930,H2Aub-ubp5,2.4084119702380953,Non-misegulated genes
AT1G01940,H2Aub-Col,1.5099356141124587,Non-misegulated genes
AT1G01940,H2Aub-ubp5,2.8051766260504203,Non-misegulated genes
AT1G01960,H2Aub-Col,1.3130024229818782,Non-misegulated genes
AT1G01960,H2Aub-ubp5,2.1073253154761904,Non-misegulated genes
AT1G01970,H2Aub-Col,1.124456295988935,Non-misegulated genes
AT1G01970,H2Aub-ubp5,1.243802366840731,Non-misegulated genes
AT1G01990,H2Aub-Col,2.8137279090909093,Downregulated
AT1G01990,H2Aub-ubp5,9.70411260134128,Downregulated
AT1G02000,H2Aub-Col,3.166276272296764,Non-misegulated genes
AT1G02000,H2Aub-ubp5,4.752454605124836,Non-misegulated genes
AT1G02020,H2Aub-Col,1.5900660791304349,Non-misegulated genes
AT1G02020,H2Aub-ubp5,2.9173087653352354,Non-misegulated genes
AT1G02080,H2Aub-Col,0.7555280762006976,Non-misegulated genes
AT1G02080,H2Aub-ubp5,0.7714639734816082,Non-misegulated genes
AT1G02090,H2Aub-Col,1.635308456006768,Non-misegulated genes
AT1G02090,H2Aub-ubp5,2.4749100562180577,Non-misegulated genes
AT1G02100,H2Aub-Col,1.4334921093514328,Non-misegulated genes
AT1G02100,H2Aub-ubp5,1.0809910586011342,Non-misegulated genes
AT1G02110,H2Aub-Col,3.1399173752066116,Non-misegulated genes
AT1G02110,H2Aub-ubp5,1.0116192367941712,Non-misegulated genes
AT1G02120,H2Aub-Col,1.3750096165413537,Non-misegulated genes
AT1G02120,H2Aub-ubp5,1.3672569803350327,Non-misegulated genes
AT1G02130,H2Aub-Col,1.5044740422857144,Non-misegulated genes
AT1G02130,H2Aub-ubp5,1.8684877965056528,Non-misegulated genes
AT1G02140,H2Aub-Col,1.0733316179337231,Non-misegulated genes
AT1G02140,H2Aub-ubp5,1.691888721864952,Non-misegulated genes
AT1G02145,H2Aub-Col,1.282275013487476,Non-misegulated genes
AT1G02145,H2Aub-ubp5,1.8734854786729855,Non-misegulated genes
AT1G02150,H2Aub-Col,4.284987994065282,Non-misegulated genes
AT1G02150,H2Aub-ubp5,3.0934503503649635,Non-misegulated genes
AT1G02160,H2Aub-Col,1.1371474606413994,Non-misegulated genes
AT1G02160,H2Aub-ubp5,2.469678432574431,Non-misegulated genes
AT1G02170,H2Aub-Col,3.3417698311444655,Non-misegulated genes
AT1G02170,H2Aub-ubp5,4.457114640105079,Non-misegulated genes
AT1G02180,H2Aub-Col,2.286700565891473,Downregulated
AT1G02180,H2Aub-ubp5,1.2695876652360516,Downregulated
AT1G02205,H2Aub-Col,8.118313674956115,Non-misegulated genes
AT1G02205,H2Aub-ubp5,5.69162303179891,Non-misegulated genes
AT1G02260,H2Aub-Col,1.2667812602478552,Non-misegulated genes
AT1G02260,H2Aub-ubp5,1.7788854391951006,Non-misegulated genes
AT1G02270,H2Aub-Col,0.9794026960882648,Non-misegulated genes
AT1G02270,H2Aub-ubp5,2.2652119005524862,Non-misegulated genes
AT1G02280,H2Aub-Col,0.8487415086887836,Non-misegulated genes
AT1G02280,H2Aub-ubp5,1.6853306340819023,Non-misegulated genes
AT1G02300,H2Aub-Col,2.32850641307578,Non-misegulated genes
AT1G02300,H2Aub-ubp5,2.9600511698938163,Non-misegulated genes
AT1G02305,H2Aub-Col,1.1651720132924337,Non-misegulated genes
AT1G02305,H2Aub-ubp5,1.694952490621915,Non-misegulated genes
AT1G02330,H2Aub-Col,0.6569389777777778,Non-misegulated genes
AT1G02330,H2Aub-ubp5,1.081805629059829,Non-misegulated genes
AT1G02335,H2Aub-Col,4.102631171122995,Non-misegulated genes
AT1G02335,H2Aub-ubp5,2.1041523198804186,Non-misegulated genes
AT1G02370,H2Aub-Col,1.7779998612716763,Non-misegulated genes
AT1G02370,H2Aub-ubp5,2.635529791269841,Non-misegulated genes
AT1G02380,H2Aub-Col,2.0687608511166253,Non-misegulated genes
AT1G02380,H2Aub-ubp5,1.991866268081761,Non-misegulated genes
AT1G02410,H2Aub-Col,0.8291250933333333,Non-misegulated genes
AT1G02410,H2Aub-ubp5,1.2490685831134565,Non-misegulated genes
AT1G02475,H2Aub-Col,1.327919552910053,Non-misegulated genes
AT1G02475,H2Aub-ubp5,2.4473126334371753,Non-misegulated genes
AT1G02500,H2Aub-Col,1.5978304340659342,Non-misegulated genes
AT1G02500,H2Aub-ubp5,1.765157821942446,Non-misegulated genes
AT1G02520,H2Aub-Col,1.6108327449106772,Non-misegulated genes
AT1G02520,H2Aub-ubp5,1.1530555861098075,Non-misegulated genes
AT1G02560,H2Aub-Col,1.0315587365406644,Non-misegulated genes
AT1G02560,H2Aub-ubp5,2.072988829379562,Non-misegulated genes
AT1G02610,H2Aub-Col,1.2744505459016393,Non-misegulated genes
AT1G02610,H2Aub-ubp5,1.4988742165932452,Non-misegulated genes
AT1G02640,H2Aub-Col,4.320050229508197,Non-misegulated genes
AT1G02640,H2Aub-ubp5,2.034722848140496,Non-misegulated genes
AT1G02660,H2Aub-Col,1.0239920977011494,Non-misegulated genes
AT1G02660,H2Aub-ubp5,1.5648036813333333,Non-misegulated genes
AT1G02680,H2Aub-Col,0.6248286565096953,Non-misegulated genes
AT1G02680,H2Aub-ubp5,1.332655811570248,Non-misegulated genes
AT1G02730,H2Aub-Col,3.0150736901763224,Non-misegulated genes
AT1G02730,H2Aub-ubp5,2.8988147521008405,Non-misegulated genes
AT1G02750,H2Aub-Col,0.9104081100917432,Non-misegulated genes
AT1G02750,H2Aub-ubp5,2.7001175431861806,Non-misegulated genes
AT1G02780,H2Aub-Col,0.8342116725146199,Non-misegulated genes
AT1G02780,H2Aub-ubp5,0.5145562590909091,Non-misegulated genes
AT1G02810,H2Aub-Col,5.796745503123225,Non-misegulated genes
AT1G02810,H2Aub-ubp5,3.853256925801012,Non-misegulated genes
AT1G02816,H2Aub-Col,1.156758250814332,Non-misegulated genes
AT1G02816,H2Aub-ubp5,4.336389394021739,Non-misegulated genes
AT1G02840,H2Aub-Col,0.7169757407407408,Non-misegulated genes
AT1G02840,H2Aub-ubp5,1.274170379735683,Non-misegulated genes
AT1G02850,H2Aub-Col,2.704034312259483,Non-misegulated genes
AT1G02850,H2Aub-ubp5,3.043658318651441,Non-misegulated genes
AT1G02860,H2Aub-Col,2.7221986645962732,Non-misegulated genes
AT1G02860,H2Aub-ubp5,3.826524528991263,Non-misegulated genes
AT1G02870,H2Aub-Col,1.6343472792321116,Non-misegulated genes
AT1G02870,H2Aub-ubp5,4.805568419354839,Non-misegulated genes
AT1G02890,H2Aub-Col,1.421350211143695,Non-misegulated genes
AT1G02890,H2Aub-ubp5,3.1952045652173915,Non-misegulated genes
AT1G02900,H2Aub-Col,2.526682001923077,Non-misegulated genes
AT1G02900,H2Aub-ubp5,2.5019476672862453,Non-misegulated genes
AT1G02910,H2Aub-Col,0.8694953317422435,Non-misegulated genes
AT1G02910,H2Aub-ubp5,1.6317394480322909,Non-misegulated genes
AT1G02960,H2Aub-Col,0.9276158695219124,Non-misegulated genes
AT1G02960,H2Aub-ubp5,1.063533284142988,Non-misegulated genes
AT1G02990,H2Aub-Col,0.7250205377302437,Non-misegulated genes
AT1G02990,H2Aub-ubp5,1.464191053430079,Non-misegulated genes
AT1G03000,H2Aub-Col,0.8189988340277777,Non-misegulated genes
AT1G03000,H2Aub-ubp5,1.7064249387222947,Non-misegulated genes
AT1G03020,H2Aub-Col,2.872212309895833,Downregulated
AT1G03020,H2Aub-ubp5,2.5498774476190476,Downregulated
AT1G03040,H2Aub-Col,2.6434766289262237,Non-misegulated genes
AT1G03040,H2Aub-ubp5,3.7599650370888735,Non-misegulated genes
