gene_id,name,value,mis_reg
AT1G01010,H3K27-Col,0.5981155027322405,Downregulated
AT1G01010,H3K27-ubp5,0.7870175261044177,Downregulated
AT1G01020,H3K27-Col,0.5143233130990416,Non-misegulated genes
AT1G01020,H3K27-ubp5,0.5882635012919897,Non-misegulated genes
AT1G01040,H3K27-Col,0.6808218433813893,Non-misegulated genes
AT1G01040,H3K27-ubp5,0.7267122712859659,Non-misegulated genes
AT1G01050,H3K27-Col,0.5180055185185185,Non-misegulated genes
AT1G01050,H3K27-ubp5,0.6170155318559557,Non-misegulated genes
AT1G01070,H3K27-Col,1.350332230679157,Non-misegulated genes
AT1G01070,H3K27-ubp5,1.429693105017503,Non-misegulated genes
AT1G01080,H3K27-Col,0.49276708580858086,Non-misegulated genes
AT1G01080,H3K27-ubp5,0.9251644490238612,Non-misegulated genes
AT1G01090,H3K27-Col,0.5177235357142858,Non-misegulated genes
AT1G01090,H3K27-ubp5,0.6747911100917431,Non-misegulated genes
AT1G01100,H3K27-Col,0.36021976515151516,Non-misegulated genes
AT1G01100,H3K27-ubp5,0.4846974509803922,Non-misegulated genes
AT1G01120,H3K27-Col,1.6012260110041263,Non-misegulated genes
AT1G01120,H3K27-ubp5,1.2232147070707071,Non-misegulated genes
AT1G01140,H3K27-Col,0.49245506666666666,Non-misegulated genes
AT1G01140,H3K27-ubp5,0.6367411637168141,Non-misegulated genes
AT1G01160,H3K27-Col,0.4647159206349206,Non-misegulated genes
AT1G01160,H3K27-ubp5,0.6240931118012423,Non-misegulated genes
AT1G01170,H3K27-Col,0.4171576875,Non-misegulated genes
AT1G01170,H3K27-ubp5,0.5347744577464789,Non-misegulated genes
AT1G01180,H3K27-Col,0.4283936193181818,Non-misegulated genes
AT1G01180,H3K27-ubp5,0.8839952012987013,Non-misegulated genes
AT1G01210,H3K27-Col,0.5343964046822742,Non-misegulated genes
AT1G01210,H3K27-ubp5,0.6570429494382023,Non-misegulated genes
AT1G01220,H3K27-Col,0.5336323033381712,Non-misegulated genes
AT1G01220,H3K27-ubp5,0.7543965121693121,Non-misegulated genes
AT1G01230,H3K27-Col,0.5205705313653136,Non-misegulated genes
AT1G01230,H3K27-ubp5,0.5678183079470198,Non-misegulated genes
AT1G01240,H3K27-Col,0.39298095982142855,Non-misegulated genes
AT1G01240,H3K27-ubp5,0.5069586056782335,Non-misegulated genes
AT1G01260,H3K27-Col,0.5706055039577836,Non-misegulated genes
AT1G01260,H3K27-ubp5,0.613378129787234,Non-misegulated genes
AT1G01300,H3K27-Col,0.3374925976331361,Non-misegulated genes
AT1G01300,H3K27-ubp5,0.4250131512915129,Non-misegulated genes
AT1G01320,H3K27-Col,0.5113645369175627,Non-misegulated genes
AT1G01320,H3K27-ubp5,0.6518581645215444,Non-misegulated genes
AT1G01350,H3K27-Col,0.5131169047619047,Non-misegulated genes
AT1G01350,H3K27-ubp5,0.5468146573033708,Non-misegulated genes
